name	description	price	image_src
Макчикен Премьер Большой МакКомбо	Большой МакКомбо состоит из Макчикен Премьера, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	244	https://eda.yandex/images/3559865/a8069e8b4820afe7cde8eccbcdb65087-450x300.png
Биг Мак Большой МакКомбо	Большой МакКомбо состоит из Биг Мака, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	230	https://eda.yandex/images/3580810/7fbd680f08a841fc4fc37d9f9356e9c4-450x300.png
Двойной Чизбургер Большой МакКомбо	Большой МакКомбо состоит из Двойного Чизбургера, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	229	https://eda.yandex/images/3502728/f9c4387cca590db16813e4fe2e1bac39-450x300.png
Макчикен Большой МакКомбо	Большой МакКомбо состоит из Макчикена, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	204	https://eda.yandex/images/3191933/a2d5f7a8497fcd1a90cf867dbfa18363-450x300.png
Биг Тейсти Острый Большой МакКомбо	Большой МакКомбо состоит из Биг Тейсти Острый, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	361	https://eda.yandex/images/3529908/57da8fae0209712d124616ef1b2a40b9-450x300.png
Биг Тейсти Бекон Большой МакКомбо	Большой МакКомбо состоит из Биг Тейсти Бекона, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	381	https://eda.yandex/images/3454897/5cfb4b5c016331a9dd7275f81b348b03-450x300.png
Цезарь Ролл Большой МакКомбо	Большой МакКомбо состоит из Цезарь Ролла, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	304	https://eda.yandex/images/3682162/2a26ce433d2352a298b931681d43d250-450x300.png
Биг Тейсти Ролл Большой МакКомбо	Большой МакКомбо состоит из Биг Тейсти Ролла, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	314	https://eda.yandex/images/3191933/5794d8509d25c04f1b524d73b438fb84-450x300.png
Шримп Ролл Большой МакКомбо	Большой МакКомбо состоит из Шримп Ролла, Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	359	https://eda.yandex/images/3508859/2bdb2fc33d775d02bc420e3d83e32f91-450x300.png
Креветки (9 шт.) Большой МакКомбо	Большой МакКомбо состоит из Креветок (9 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	435	https://eda.yandex/images/3507787/9403928685ddb4e2af68dcade76ca713-450x300.png
Креветки (6 шт.) Большой МакКомбо	Большой МакКомбо состоит из Креветок (6 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	345	https://eda.yandex/images/3667559/079411fb35fb8b5b2d381b82df7170fc-450x300.png
